test_id,category,complexity,schema_coverage,query_semantic_complexity,cot_effectiveness,planning_coherence,autonomy_index,reasoning_depth_score,reflection_effectiveness,adaptation_efficiency,problem_decomposition_quality,tool_precision,tool_recall,tool_f1_score,computational_accuracy,time_efficiency,query_efficiency,iteration_efficiency,answer_completeness,answer_correctness,execution_time,total_queries,successful_queries,iteration_rounds
neuro_basic_1,kg_navigation,1,0.5,7.723848750000002,0.87,1.0,0.5616666666666666,0.128,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,0.5,1.0,1.0,99.51515316963196,4,4,1
neuro_basic_2,kg_navigation,1,0.25,1.279221666666667,0.6733333333333333,0.7,0.5116666666666667,0.262,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3,0.6666666666666666,0.5,0.8999999999999999,0.7666666666666666,96.34288287162781,3,2,1
neuro_relation_1,kg_navigation,2,0.4375,1.3016558333333337,1.0,1.0,0.6116666666666667,0.42,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,0.5,0.7999999999999999,0.775,170.33044815063477,6,6,1
neuro_relation_2,kg_navigation,2,0.375,2.2561639999999996,1.0,1.0,0.6116666666666667,0.5249999999999999,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,0.5,0.7,0.7,192.79804587364197,5,5,1
neuro_reasoning_1,reasoning,3,0.5,8.880582999999998,0.728,1.0,0.6116666666666667,0.33899999999999997,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.8,0.5,0.9999999999999999,0.9200000000000002,129.6329379081726,5,4,1
neuro_reasoning_2,reasoning,3,0.5,5.990400714285714,1.0,1.0,0.6116666666666667,0.45,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,0.5,0.7999999999999999,0.775,143.56220507621765,7,7,1
neuro_tool_1,tool_use,4,0.5,10.0,1.0,0.7,0.5616666666666666,0.302,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,1.0,0.5,0.7999999999999999,0.625,166.59208297729492,4,4,1
neuro_tool_2,tool_use,4,0.375,10.0,1.0,1.0,0.5616666666666666,0.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,1.0,0.5,0.7999999999999999,0.55,165.33472204208374,4,4,1
neuro_complex_1,complex,5,0.5,10.0,0.8571428571428572,1.0,0.6116666666666667,0.45,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3,0.7142857142857143,0.5,0.8999999999999999,0.48571428571428577,238.37192797660828,7,5,1
neuro_complex_2,complex,5,0.5,10.0,1.0,1.0,0.6116666666666667,0.375,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,0.5,0.9999999999999999,0.925,269.1889350414276,9,9,1
